,first_algo,bsl_algo,xgb_bsl,knn_bsl_u,knn_bsl_m,xgb_knn_bsl,svd,svdpp,xgb_final,xgb_all_models
rmse,1.1075854286551927,1.0822513101982842,1.1234619836629212,1.0822531134111517,1.0821949464872673,1.11901091975606,1.0821912114098393,1.0822543401393163,1.1234619836629212,1.1367862682953647
mape,38.06150792818722,36.634142696886315,38.588619195862314,36.63794599842355,36.63194849597806,38.45632696116646,36.63640232612494,36.641062221542555,38.588619195862314,38.96381974913251
predictions,[3.7853577 3.7853577 3.7853577 ... 3.7853577 3.7853577 3.7853577],[3.61197953 3.61197953 3.61197953 ... 3.61197953 3.61197953 3.61197953],[3.8501213 3.8501213 3.8501213 ... 3.8501213 3.8501213 3.8501213],[3.61197953 3.61197953 3.61197953 ... 3.61197953 3.61197953 3.61197953],[3.61197953 3.61197953 3.61197953 ... 3.61197953 3.61197953 3.61197953],[3.8333902 3.8333902 3.8333902 ... 3.8333902 3.8333902 3.8333902],[3.61197953 3.61197953 3.61197953 ... 3.61197953 3.61197953 3.61197953],[3.61197953 3.61197953 3.61197953 ... 3.61197953 3.61197953 3.61197953],[3.8501213 3.8501213 3.8501213 ... 3.8501213 3.8501213 3.8501213],[3.8952286 3.8952286 3.8952286 ... 3.8952286 3.8952286 3.8952286]
