,first_algo,bsl_algo,xgb_bsl,knn_bsl_u,knn_bsl_m,xgb_knn_bsl,svd,svdpp,xgb_final,xgb_all_models
rmse,0.12118682611227227,0.8828766422875534,0.1261874847640434,0.2941885927227935,0.26140322547389855,0.10981967576737574,0.652056585294612,0.5906323996698382,0.1261874847640434,0.17102240930359988
mape,1.6444063405735523,26.93089077683406,2.100178097410874,7.815052348749038,6.516388525578446,1.8242403191456438,19.474744533179717,17.159395676027554,2.100178097410874,2.6386577801087343
predictions,[3.99939   4.9984384 2.9627779 ... 3.003933  2.0207508 2.9959617],[4.29973852 3.29420836 3.27304636 ... 4.36116118 3.37126551 3.58576581],[3.9629815 5.098435  2.9755561 ... 2.8473248 2.0066352 3.0000947],[4.         4.99225798 3.03181282 ... 3.12351222 2.36309103 3.27422622],[4.         4.88913761 2.9520894  ... 3.06918773 2.28723566 3.15017613],[3.9572866 5.0049334 2.9614801 ... 2.8959932 2.0335276 2.996603 ],[4.32509468 3.53823226 3.30952815 ... 3.87523122 2.79919929 3.53100026],[4.09299628 3.62057612 3.13516274 ... 4.13098788 2.17650705 3.2783564 ],[3.9629815 5.098435  2.9755561 ... 2.8473248 2.0066352 3.0000947],[4.0014877 4.957424  3.0093668 ... 3.0106971 2.0065746 3.0106971]
